Ερώτηση,Πιθανή Απάντηση 1,Πιθανή Απάντηση 2,Πιθανή Απάντηση 3,Πιθανή Απάντηση 4,Σωστή Απάντηση,Κατηγορία,Path εικόνας
Ποιος ανακάλυψε τον ασύρματο τηλέγραφο;,Γουλιέλμος Μαρκόνι,Σαμουήλ Μορς,Κάρολος Τζέκινς,Τομάς Έντισον,1,SCIENCE,αρχείο λήψης.jpg
Πότε ιδρύθηκε η Κωνσταντινούπολη;,το 330 μ.Χ,Το 340 μ.Χ,το 350 μ.Χ,το 320 μ.Χ.,1,HISTORY,constan.jpg
ʼμεση δημοκρατία συναντούμε:,στις Η.Π.Α,στην Κούβα,στη σύγχρονη Ελλάδα,στην αρχαία Ελλάδα,2,POLITICS,Scene_at_the_Signing_of_the_Constitution_of_the_United_States.jpg
Ποιος από τους παρακάτω πήρε μέρος στη μάχη του Μαραθώνα το 490 π.Χ.; ,Παυσανίας,Μιλτιάδης,Θεμιστοκλής,Λεωνίδας,2,HISTORY,marathon-war-museum-lg.jpg
Ποια είναι η μεγαλύτερη σε έκταση λίμνη της Γής;,Κασπία,Βικτόρια,Μεγάλη Πρέσπα,Ταγκανίκα,1,GEOGRAPHY,9aa5b532-8538-4cc7-907f-1a40ed7a5d13.jpg
Ποιός έγραψε το Hobbit?,J.R.R. Tolkien,George R. R. Martin,Παπαδιαμάντης,J. K. Rowling,1,MOVIES,hobbit.jpg
Ποια αξιόποινη πράξη από όλες τις παρακάτω τιμωρείται ελαφρύτερα;,Το κακούργημα,Το πλημμέλημα,Το πταίσμα,"Το κακούργημα, όταν αναγνωρίζονται ελαφρυντικά στον κατηγορούμενο",3,LAW,36300-569-1(2).jpg
Ποια είναι η μακρύτερη οροσειρά της Γής;,ʼνδεις,ʼτλας,Πυρηναία όρη,ʼλπεις,1,GEOGRAPHY,Everest_North_Face_toward_Base_Camp_Tibet_Luca_Galuzzi_2006.jpg
Ποια από τις επόμενες Ευρωπαϊκές Συνθήκες υπεγράφη πρώτη;,Η Συνθήκη των Παρισίων,Η Συνθήκη του Μάαστριχτ,Η Συνθήκη του ʼμστερνταμ,Η Συνθήκη της Ρώμης,1,HISTORY,
"Το Σύμφωνο Σταθερότητας και Ανάπτυξης, το οποίο υιοθετήθηκε το 1997 από το Ευρωπαϊκό Συμβούλιο στο ʼμστερνταμ, απέβλεπε στο:",να εξασφαλίσει ότι η προσπάθεια για δημοσιονομική πειθαρχία των κρατών-μελών θα συνεχιστεί και μετά την εισαγωγή του ενιαίου νομίσματος (ευρώ) στην οικονομία.,να εξασφαλίσει ότι όλα τα κράτη-μέλη θα έχουν σταθερό ρυθμό ανάπτυξης,να διασφαλίσει ότι το ετήσιο έλλειμμα του προϋπολογισμού των κρατών-μελών είναι σταθερό ποσοστό του ΑΕΠ ίσο με 3%.,να επιβάλει κυρώσεις σε όσες χώρες δεν τηρούν τους όρους της συνθήκης της Λισαβόνας.,1,HISTORY,
"Οι διαστάσεις, σε χιλιοστά, του τυποποιημένου φύλλου χαρτιού Α4 είναι:",297 x 420.,148 x 210.,105 x 148.,210 x 297,4,GENERAL,a_size-paper.png
Η Διεθνής Αμνηστία ασχολείται:,με την περίθαλψη τραυματιών πολέμου,με τους πρόσφυγες,με την προστασία του περιβάλλοντος,με τους κρατούμενους συνείδησης,4,LAW,Amnesty.png
Ποια από τις επόμενες Ευρωπαϊκές Συνθήκες υπεγράφη πρώτη;,Η Συνθήκη των Παρισίων,Η Συνθήκη του Μάαστριχτ,Η Συνθήκη του ʼμστερνταμ,Η Συνθήκη της Ρώμης,1,HISTORY,
"Αν 4 ταμίες εξυπηρετούν 4 πελάτες σε 2 λεπτά, πόσους πελάτες εξυπηρετεί 1 ταμίας σε 8 λεπτά;",4,1,8,2,1,SCIENCE,maths.jpg
Ανανεώσιμη μορφή ενέργειας θεωρείται η ενέργεια από:,φυσικό αέριο.,λιγνίτη,βιομάζα,άνθρακας,3,SCIENCE,Recycle.jpg
Ποια από τις επόμενες Ευρωπαϊκές Συνθήκες υπεγράφη πρώτη;,Η Συνθήκη των Παρισίων,Η Συνθήκη του Μάαστριχτ,Η Συνθήκη του ʼμστερνταμ,Η Συνθήκη της Ρώμης,1,HISTORY,
Ο Καβάφης έζησε:,στη Σμύρνη,στην Βηρυτό,στο Κάιρο,στην Αλεξάνδρεια,4,ARTS,cavafy5.jpg
Ποιος μεγάλος εξερευνητής και θαλασσοπόρος έκανε τον 'περίπλου της Γής,Χριστόφορος Κολόμβος,Φερδινάνδος Μαγγελάνος,Αμέρικο Βεσπούκι,Μάρκο Πόλο,2,HISTORY,αρχείο λήψης (1).jpg
Ως σημαντικότερος ιστορικός της αρχαιότητας θεωρείται ο:,Ερατοσθένης,Εμπεδοκλής,Παυσανίας,Ηρόδοτος,4,HISTORY,
Πόσοι πλανήτες περιστρέφονται γύρω από τον Ήλιο;,Έξι (6),Οκτώ (8),Εννέα (9),Επτά (7),2,SCIENCE,solarsystem.jpg
Ποια από τις επόμενες Ευρωπαϊκές Συνθήκες υπεγράφη πρώτη;,Η Συνθήκη των Παρισίων,Η Συνθήκη του Μάαστριχτ,Η Συνθήκη του ʼμστερνταμ,Η Συνθήκη της Ρώμης,1,HISTORY,
Η έδρα του Ο.Η.Ε. είναι:,εκ περιτροπής και για μία πενταετία στις πρωτεύουσες των πέντε μόνιμων κρατών-μελών του Συμβουλίου Ασφαλείας,στην πρωτεύουσα του Κράτους του οποίου υπήκοος είναι ο εκάστοτε Γενικός Γραμματεύς του,στη Γενεύη,στη Νέα Υόρκη,4,GENERAL,ohe.jpg
Ποια από τις επόμενες Ευρωπαϊκές Συνθήκες υπεγράφη πρώτη;,Η Συνθήκη των Παρισίων,Η Συνθήκη του Μάαστριχτ,Η Συνθήκη του ʼμστερνταμ,Η Συνθήκη της Ρώμης,1,HISTORY,
Πως λέγονται τα βαθιά φαράγγια στο βυθό των ωκεανών που έχουν μεγάλο μήκος και πάντοτε μεγάλο βάθος;,Φαράγγια,Μεσοωκεάνιες ράχες,Αβυσσικά πεδία,Ωκεάνιες τάφροι,4,GEOGRAPHY,6902565_orig.jpg
Ποιες από τις παρακάτω πηγές ενέργειας δεν είναι ανανεώσιμες;,ʼνεμος,Υδατοπτώσεις,Γεωθερμία,Φυσικό αέριο,4,SCIENCE,Renewable-Energy-Future-820x300-604x270.jpg
Ένας διαγωνισμός πραγματοποιείται κάθε χρόνο. Ο πρώτος έγινε το 1965. Πότε θα πραγματοποιηθεί ο 50ος;,2115,2014,2015,2114,2,MATHS,maths.jpg
"Τα κοινωνικά δικαιώματα για την προστασία της οικογένειας, της μητρότητας και της παιδικής ηλικίας καθιερώθηκαν σε συνταγμτικό επίπεδο για πρώτη φορά:",με το Σύνταγμα του 1975,με το Σύνταγμα του 1952,με την Συνταγματική Αναθεώρηση του 1986,με το Σύνταγμα του 1911,1,LAW,
Ποιο είναι το μεγαλύτερο λιμάνι διακίνησης φορτίου στον κόσμο;,Σιγκαπούρη,Νέα Υόρκη,Ρότερνταμ,Πειραιάς,3,GENERAL,1175574_628175443883434_2035968999_n.jpg
Η αξιόποινη πράξη της κλοπής θα δικαστεί από,Ποινικό δικαστήριο,Πολιτικό δικαστήριο,το αρμόδιο αστυνομικό τμήμα του τόπου της κλοπής,Διοικητικό δικαστήριο,1,LAW,
Η έδρα της Διεθνούς Ολυμπιακής Επιτροπής βρίσκεται:,στη Βέρνη,στη Λωζάνη,στη Γενεύη,στο Παρίσι,2,GENERAL,olympiakoi-agones.jpg
Ποιο κράτος έχει σήμερα βασιλευομένη δημοκρατία;,Η Γαλλία,Η Γερμανία,Η Ισπανία,Η Ιταλία,3,POLITICS,
Ποιος είναι ο μεγαλύτερος και βαθύτερος ωκεανός;,Κανένας από αυτούς,Ειρηνικός,Ατλαντικός,Ινδικός,2,GEOGRAPHY,10-pragmata-pou-isos-den-kserete-gia-tous-okeanous.jpg
